Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
48722416,Beach Read,Emily Henry,"Henry, Emily",,"=""0241989523""","=""9780241989524""",2,3.98,Penguin Books,Paperback,361,2020,2020,2024/12/07,2021/10/14,"paper-collection, ebook-collection","paper-collection (#153), ebook-collection (#170)",read,"I'm sorry, this is going to be helpful to no one but I have to get it off my chest: January is insufferable",,,1,0
54613751,House of Hollow,Krystal Sutherland,"Sutherland, Krystal",,"=""059311034X""","=""9780593110348""",3,4.02,G.P. Putnam's Sons Books for Young Readers,Hardcover,292,2021,2021,2024/12/19,2021/12/06,"horror, mystery, ebook-collection, read-ebooks, young-adult, trigger-warning","horror (#6), mystery (#32), ebook-collection (#233), read-ebooks (#67), young-adult (#1), trigger-warning (#10)",read,,,,1,0
16305,"Evil Under the Sun (Hercule Poirot, #24)",Agatha Christie,"Christie, Agatha",,"=""1579126286""","=""9781579126285""",0,3.98,Black Dog & Leventhal Publishers,Hardcover,220,2006,1941,,2021/02/24,"to-read, ebook-collection","to-read (#89), ebook-collection (#6)",to-read,,,,0,0
735107,Problem at Pollensa Bay and Other Stories,Agatha Christie,"Christie, Agatha",,"=""0002239221""","=""9780002239226""",0,3.53,HarperCollins,Hardcover,227,1991,1991,,2024/07/24,"to-read, paper-collection, ebook-collection","to-read (#311), paper-collection (#9), ebook-collection (#11)",to-read,,,,0,0
933,Memoirs of a Geisha,Arthur Golden,"Golden, Arthur",,"=""""","=""""",0,4.16,Vintage,Paperback,434,1998,1997,,2024/08/24,"to-read, paper-collection","to-read (#353), paper-collection (#187)",to-read,,,,0,0
14812133,"Infamous (Fame Game, #3)",Lauren Conrad,"Conrad, Lauren",,"=""0062079840""","=""9780062079848""",0,3.59,Harper,Hardcover,276,2013,2013,,2024/07/24,"to-read, paper-collection","to-read (#304), paper-collection (#33)",to-read,,,,0,0
195608705,Argylle,Elly Conway,"Conway, Elly",,"=""0593600010""","=""9780593600016""",0,3.27,Bantam,Hardcover,384,2024,2024,,2024/01/17,"to-read, ebook-collection","to-read (#264), ebook-collection (#142)",to-read,,,,0,0
21118748,"The Mysterious Affair at Styles (Hercule Poirot, #1)",Agatha Christie,"Christie, Agatha",,"=""""","=""""",5,4.00,Harper,Paperback,288,2013,1920,2020/04/22,2020/04/07,"read-audiobooks, paper-collection, ebook-collection, read-ebooks, mystery, five-star","read-audiobooks (#11), paper-collection (#141), ebook-collection (#157), read-ebooks (#43), mystery (#7), five-star (#13)",read,,,,1,0
50155982,The Seven Deaths of Evelyn Hardcastle,Stuart Turton,"Turton, Stuart",,"=""""","=""""",5,3.79,Raven Books,ebook,528,2018,2018,2024/09/10,2021/10/27,"ebook-collection, read-ebooks, mystery, murder, five-star","ebook-collection (#193), read-ebooks (#60), mystery (#11), murder (#7), five-star (#44)",read,,,,1,0
6058533,Good Omens,Terry Pratchett,"Pratchett, Terry",Neil Gaiman,"=""0552159840""","=""9780552159845""",0,4.25,Corgi,Paperback,402,2011,1990,,2024/07/24,"to-read, paper-collection","to-read (#314), paper-collection (#19)",to-read,,,,0,0
25686927,"Him (Him, #1)",Sarina Bowen,"Bowen, Sarina",Elle Kennedy,"=""1942444079""","=""9781942444077""",3,4.22,Rennie Road Books,ebook,360,2015,2015,2024/09/26,2022/05/25,"ebook-collection, lgbt, romance","ebook-collection (#215), lgbt (#1), romance (#1)",read,,,,1,0
136251,"Harry Potter and the Deathly Hallows (Harry Potter, #7)",J.K. Rowling,"Rowling, J.K.",,"=""""","=""""",0,4.62,Arthur A. Levine Books,Hardcover,759,2007,2007,,2020/04/07,"to-read, paper-collection","to-read (#32), paper-collection (#154)",to-read,,,,0,0
44436641,The Hunting Party,Lucy Foley,"Foley, Lucy",,"=""""","=""9780008297138""",4,3.61,HarperCollins,ebook,400,2018,2018,2021/02/08,2020/06/22,"ebook-collection, read-ebooks","ebook-collection (#61), read-ebooks (#24)",read,,,,1,0
41571753,Open Book,Jessica Simpson,"Simpson, Jessica",Kevin Carr O'Leary,"=""""","=""""",0,4.10,Dey Street Books,Hardcover,416,2020,2020,,2020/04/07,"to-read, ebook-collection, paper-collection","to-read (#16), ebook-collection (#171), paper-collection (#155)",to-read,,,,0,0
56755535,As the Wicked Watch,Tamron Hall,"Hall, Tamron",,"=""0063037033""","=""9780063037038""",0,3.54,William Morrow,Hardcover,400,2021,2021,,2024/03/13,"to-read, ebook-collection","to-read (#287), ebook-collection (#102)",to-read,,,,0,0
24339820,In the Woods,Tana French,"French, Tana",,"=""1444744216""","=""9781444744217""",0,3.78,Hachette Books Ireland,Paperback,596,2015,2007,,2024/07/24,"to-read, paper-collection, ebook-collection","to-read (#305), paper-collection (#52), ebook-collection (#208)",to-read,,,,0,0
6086132,The Model as Muse: Embodying Fashion,Harold Koda,"Koda, Harold",Kohle Yohannan,"=""0300148933""","=""9780300148930""",0,3.76,Metropolitan Museum of Art,Hardcover,224,2009,2009,,2024/09/23,"to-read, met-gala-collection","to-read (#366), met-gala-collection (#11)",to-read,,,,0,0
63133205,The Woman in Me,Britney Spears,"Spears, Britney",,"=""1668009048""","=""9781668009048""",5,3.84,Gallery Books,Hardcover,288,2023,2023,2024/01/30,2023/10/26,"paper-collection, read-audiobooks, read-paper, audiobook-collection, people, five-star","paper-collection (#126), read-audiobooks (#8), read-paper (#62), audiobook-collection (#8), people (#16), five-star (#47)",read,,,,1,0
60494605,"The Family Remains (The Family Upstairs, #2)",Lisa Jewell,"Jewell, Lisa",,"=""1804941360""","=""9781804941362""",4,3.87,Penguin,Kindle Edition,448,2022,2022,2025/01/18,2024/07/20,"ebook-collection, mystery, read-ebooks","ebook-collection (#119), mystery (#35), read-ebooks (#70)",read,,,,1,0
16073316,Punk: Chaos to Couture,Andrew Bolton,"Bolton, Andrew","Richard Hell, John Lydon, Jon Savage","=""0300191855""","=""9780300191851""",5,3.90,Metropolitan Museum of Art,Hardcover,240,2013,2013,,2020/08/27,"met-gala-collection, read-paper, paper-collection","met-gala-collection (#3), read-paper (#16), paper-collection (#35)",read,,,,1,0
30689335,The Roanoke Girls,Amy Engel,"Engel, Amy",,"=""1101906669""","=""9781101906668""",2,3.72,Crown,Hardcover,279,2017,2017,,2020/04/12,"read-ebooks, trigger-warning","read-ebooks (#14), trigger-warning (#5)",read,,,,1,0
57091321,American Dirt,Jeanine Cummins,"Cummins, Jeanine",,"=""1472261402""","=""9781472261403""",0,4.37,Tinder Press,Paperback,457,2021,2020,,2020/04/07,"to-read, paper-collection","to-read (#25), paper-collection (#103)",to-read,,,,0,0
53011908,"Catch and Kill: Lies, Spies, and a Conspiracy to Protect Predators",Ronan Farrow,"Farrow, Ronan",,"=""0316486639""","=""9780316486637""",0,4.40,"Little, Brown and Company",Hardcover,448,2019,2019,,2020/04/07,"to-read, paper-collection","to-read (#43), paper-collection (#94)",to-read,,,,0,0
952234,Sleeping Murder: Miss Marple's Last Case,Agatha Christie,"Christie, Agatha",,"=""000720860X""","=""9780007208609""",0,3.99,HarperCollins,Hardcover,224,2006,1976,,2024/07/25,"to-read, ebook-collection, paper-collection","to-read (#340), ebook-collection (#204), paper-collection (#179)",to-read,,,,0,0
22037439,"Harry Potter and the Goblet of Fire (Harry Potter, #4)",J.K. Rowling,"Rowling, J.K.","Jonny Duddle, Tomislav Tomić","=""1408855925""","=""9781408855928""",5,4.57,Bloomsbury,Hardcover,617,2014,2000,,2020/04/13,"paper-collection, read-paper, five-star","paper-collection (#46), read-paper (#20), five-star (#24)",read,,,,1,0
52578297,The Midnight Library,Matt Haig,"Haig, Matt",,"=""0525559477""","=""9780525559474""",4,3.98,Viking,Hardcover,288,2020,2020,2021/08/08,2021/02/24,"read-ebooks, ebook-collection","read-ebooks (#52), ebook-collection (#179)",read,,,,1,0
824444,"Wicked: The Life and Times of the Wicked Witch of the West (The Wicked Years, #1)",Gregory Maguire,"Maguire, Gregory",,"=""0755331605""","=""9780755331604""",5,3.51,Headline Review,Paperback,512,2006,1995,,2020/04/13,"paper-collection, read-paper, five-star","paper-collection (#11), read-paper (#5), five-star (#30)",read,,,,1,0
45857524,Identity Crisis,Ben Elton,"Elton, Ben",,"=""0552771295""","=""9780552771290""",5,3.77,Transworld Publishers Ltd,Paperback,384,2019,2015,2020/01/01,2020/09/04,"paper-collection, read-ebooks, ebook-collection, five-star","paper-collection (#159), read-ebooks (#50), ebook-collection (#177), five-star (#36)",read,,,,1,0
426803,Alice's Adventures in Wonderland and Through the Looking-Glass,Lewis Carroll,"Carroll, Lewis",John Tenniel,"=""0099512076""","=""9780099512073""",0,4.06,Vintage Classics,Paperback,336,2012,1871,,2024/07/24,"to-read, paper-collection","to-read (#324), paper-collection (#5)",to-read,,,,0,0
32418,"Hannibal (Hannibal Lecter, #3)",Thomas  Harris,"Harris, Thomas",,"=""""","=""""",0,3.82,Arrow,Paperback,564,2000,1999,,2021/02/24,"to-read, ebook-collection","to-read (#91), ebook-collection (#175)",to-read,,,,0,0
20821614,"You (You, #1)",Caroline Kepnes,"Kepnes, Caroline",,"=""1476785597""","=""9781476785592""",0,3.96,Atria/Emily Bestler Books,Hardcover,424,2014,2014,,2020/04/10,"to-read, ebook-collection","to-read (#51), ebook-collection (#26)",to-read,,,,0,0
95585984,"Love, Pamela",Pamela Anderson,"Anderson, Pamela",,"=""1472291115""","=""9781472291110""",0,3.81,Headline,Paperback,240,2023,2023,,2024/07/25,"to-read, paper-collection, audiobook-collection","to-read (#343), paper-collection (#180), audiobook-collection (#1)",to-read,,,,0,0
